Position,Track Name,Artist
19,Beer Never Broke My Heart,Luke Combs
19,Beer Never Broke My Heart,Luke Combs
29,Before You Go,Lewis Capaldi
29,Before You Go,Lewis Capaldi
22,Beggin',Madcon
22,Beggin',Madcon
21,Behind Barz - Bonus,Drake
21,Behind Barz - Bonus,Drake
34,Bellacoso,Residente
34,Bellacoso,Residente
38,Bellas,Anthony Santos
38,Bellas,Anthony Santos
17,BEST ON EARTH (feat. BIA) - Bonus,Russ
17,BEST ON EARTH (feat. BIA) - Bonus,Russ
40,Best Part (feat. Daniel Caesar),H.E.R.
40,Best Part (feat. Daniel Caesar),H.E.R.
33,Bestie (feat. Kodak Black),Bhad Bhabie
33,Bestie (feat. Kodak Black),Bhad Bhabie
32,Better Together,Luke Combs
32,Better Together,Luke Combs
46,Bezerk (feat. A$AP Ferg),Big Sean
46,Bezerk (feat. A$AP Ferg),Big Sean
43,BIG,Young M.A
43,BIG,Young M.A
20,Big Drip,Fivio Foreign
20,Big Drip,Fivio Foreign
17,Big Ole Freak,Megan Thee Stallion
17,Big Ole Freak,Megan Thee Stallion
37,Big Plans,Why Don't We
37,Big Plans,Why Don't We
46,BIG TYME (feat. Swizz Beatz),Rick Ross
46,BIG TYME (feat. Swizz Beatz),Rick Ross
28,"Big, Big Plans",Chris Lane
28,"Big, Big Plans",Chris Lane
25,BIRTHDAY,JEON SOMI
25,BIRTHDAY,JEON SOMI
19,Birthday Suit,Cosmo Sheldrake
19,Birthday Suit,Cosmo Sheldrake
49,Bitch Lasagna,Party in Backyard
49,Bitch Lasagna,Party in Backyard
26,Bitchuary,Shordie Shordie
26,Bitchuary,Shordie Shordie
48,Bleed It,Blueface
48,Bleed It,Blueface
10,Blinding Lights,The Weeknd
10,Blinding Lights,The Weeknd
25,Blue Laces 2,Nipsey Hussle
25,Blue Laces 2,Nipsey Hussle
3,Blueberry Fuego,Yeezys Activist
3,Blueberry Fuego,Yeezys Activist
30,Boasty (feat. Idris Elba),Wiley
30,Boasty (feat. Idris Elba),Wiley
18,Bola Rebola,Tropkillaz
18,Bola Rebola,Tropkillaz
9,Bon Bon Chocolat,EVERGLOW
9,Bon Bon Chocolat,EVERGLOW
42,Bones (feat. OneRepublic),Galantis
42,Bones (feat. OneRepublic),Galantis
32,BOP,DaBaby
32,BOP,DaBaby
37,Borderline,Tame Impala
37,Borderline,Tame Impala
45,Bossa No Sé (feat. Jean Carter),Cuco
45,Bossa No Sé (feat. Jean Carter),Cuco
11,Boy With Luv (feat. Halsey),BTS
11,Boy With Luv (feat. Halsey),BTS
1,BOYFREN,LoveLeo
1,BOYFREN,LoveLeo
32,boyfriend (with Social House),Ariana Grande
32,boyfriend (with Social House),Ariana Grande
40,Boys Will Be Bugs,Cavetown
40,Boys Will Be Bugs,Cavetown
45,BRB,Luh Kel
45,BRB,Luh Kel
29,"break up with your girlfriend, i'm bored",Ariana Grande
29,"break up with your girlfriend, i'm bored",Ariana Grande
49,Breathe,The Prodigy
49,Breathe,The Prodigy
25,Broke,Samm Henshaw
25,Broke,Samm Henshaw
28,Brothers,Bankrol Hayden
28,Brothers,Bankrol Hayden
41,Buff Baby,tobi lou
41,Buff Baby,tobi lou
11,Burnin' Up,Jonas Brothers
11,Burnin' Up,Jonas Brothers
13,bury a friend,Billie Eilish
13,bury a friend,Billie Eilish
10,Bust It Open,Lil Wil
10,Bust It Open,Lil Wil
30,Buttercup,Jack Stauber
30,Buttercup,Jack Stauber
31,Butterflies,Kacey Musgraves
31,Butterflies,Kacey Musgraves
43,Buy My Own Drinks,Runaway June
43,Buy My Own Drinks,Runaway June
9,Call Me Daddy (feat. Lil Baby),PopLord
9,Call Me Daddy (feat. Lil Baby),PopLord
32,Call You Mine (feat. Bebe Rexha),The Chainsmokers
32,Call You Mine (feat. Bebe Rexha),The Chainsmokers
38,Callaita,Bad Bunny
38,Callaita,Bad Bunny
1,Calma - Remix,Pedro Capó
1,Calma - Remix,Pedro Capó
6,Camelot,NLE Choppa
6,Camelot,NLE Choppa
49,Can I Call You Tonight?,Dayglow
49,Can I Call You Tonight?,Dayglow
49,Can We Kiss Forever?,Kina
49,Can We Kiss Forever?,Kina
24,Can You Imagine That?,Emily Blunt
24,Can You Imagine That?,Emily Blunt
48,Can't Stop the Bleeding (feat. Gary Clark Jr. & Gramatik),Tom Morello
48,Can't Stop the Bleeding (feat. Gary Clark Jr. & Gramatik),Tom Morello
20,Candy,Doja Cat
20,Candy,Doja Cat
35,CAPO,NLE Choppa
35,CAPO,NLE Choppa
34,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo
34,"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo
12,Case 19 (feat. 6ix9ine),Jasiah
12,Case 19 (feat. 6ix9ine),Jasiah
39,Cash Shit (feat. DaBaby),Megan Thee Stallion
39,Cash Shit (feat. DaBaby),Megan Thee Stallion
44,Cat & Dog,TOMORROW X TOGETHER
44,Cat & Dog,TOMORROW X TOGETHER
35,Catchy Song (feat. T-Pain & That Girl Lay Lay) [From The LEGO® Movie 2: The Second Part - Original Motion Picture Soundtrack],Dillon Francis
35,Catchy Song (feat. T-Pain & That Girl Lay Lay) [From The LEGO® Movie 2: The Second Part - Original Motion Picture Soundtrack],Dillon Francis
50,Caught Up (feat. Khalid),Majid Jordan
50,Caught Up (feat. Khalid),Majid Jordan
8,Cha Cha,Freddie Dredd
8,Cha Cha,Freddie Dredd
38,Change (with Kehlani),Arin Ray
38,Change (with Kehlani),Arin Ray
13,Change Ya Life,Haiti Babii
13,Change Ya Life,Haiti Babii
39,Chicken Noodle Soup (feat. Becky G),j-hope
39,Chicken Noodle Soup (feat. Becky G),j-hope
30,Chico (feat. Wiz Khalifa & Kap G),Alexcis
30,Chico (feat. Wiz Khalifa & Kap G),Alexcis
11,China,Anuel AA
11,China,Anuel AA
29,Choppas on Choppas (feat. NLE Choppa),Action Pack
29,Choppas on Choppas (feat. NLE Choppa),Action Pack
27,Church (feat. EARTHGANG),Samm Henshaw
27,Church (feat. EARTHGANG),Samm Henshaw
46,Church (Take Me Back),Cochren & Co.
46,Church (Take Me Back),Cochren & Co.
36,Cigarettes On Patios,BabyJake
36,Cigarettes On Patios,BabyJake
31,Circles,Post Malone
31,Circles,Post Malone
37,CIVIL WAR - Bonus,Russ
37,CIVIL WAR - Bonus,Russ
24,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding
24,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding
39,Clout (feat. Cardi B),Offset
39,Clout (feat. Cardi B),Offset
11,"Collide - From ""Queen & Slim: The Soundtrack""",Tiana Major9
11,"Collide - From ""Queen & Slim: The Soundtrack""",Tiana Major9
3,Come Along,Cosmo Sheldrake
3,Come Along,Cosmo Sheldrake
24,Come Back,Brinley Addington
24,Come Back,Brinley Addington
27,Come Thru (with Usher),Summer Walker
27,Come Thru (with Usher),Summer Walker
47,comethru,Jeremy Zucker
47,comethru,Jeremy Zucker
42,Con Altura,ROSALÍA
42,Con Altura,ROSALÍA
17,Con Calma,Daddy Yankee
17,Con Calma,Daddy Yankee
16,Congratulations,pewdiepie
16,Congratulations,pewdiepie
32,Contando Lunares (feat. Cruz Cafuné),Don Patricio
32,Contando Lunares (feat. Cruz Cafuné),Don Patricio
36,Coronao Now,El Alfa
36,Coronao Now,El Alfa
30,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",Dreamville
30,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",Dreamville
42,Cover Me Up,Morgan Wallen
42,Cover Me Up,Morgan Wallen
30,Cradles,Sub Urban
30,Cradles,Sub Urban
33,Crash Flow,Rae Rae
33,Crash Flow,Rae Rae
50,Creeker,Tyler Childers
50,Creeker,Tyler Childers
31,Crime Pays,Freddie Gibbs
31,Crime Pays,Freddie Gibbs
14,Cristina (feat. Shelow Shaq),Maffio
14,Cristina (feat. Shelow Shaq),Maffio
15,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran
15,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran
4,Cross Off,Mark Morton
4,Cross Off,Mark Morton
11,Crowded Table,The Highwomen
11,Crowded Table,The Highwomen
7,CROWN,TOMORROW X TOGETHER
7,CROWN,TOMORROW X TOGETHER
49,Cuban Links (feat. Kevin Gates),Rod Wave
49,Cuban Links (feat. Kevin Gates),Rod Wave
49,Daddy (feat. Rich The Kid),Blueface
49,Daddy (feat. Rich The Kid),Blueface
20,Dance Monkey,Tones And I
20,Dance Monkey,Tones And I
28,Dancin - Krono Remix (Extended),Aaron Smith
28,Dancin - Krono Remix (Extended),Aaron Smith
6,Dancin (feat. Luvli) - Krono Remix,Aaron Smith
6,Dancin (feat. Luvli) - Krono Remix,Aaron Smith
6,Dancing With A Stranger (with Normani),Sam Smith
6,Dancing With A Stranger (with Normani),Sam Smith
10,Daytrip,STEPHAN
10,Daytrip,STEPHAN
36,Dear God,Dax
36,Dear God,Dax
46,Death,Trippie Redd
46,Death,Trippie Redd
28,Dedication (feat. Kendrick Lamar),Nipsey Hussle
28,Dedication (feat. Kendrick Lamar),Nipsey Hussle
50,Demons and Angels (feat. Juice WRLD),A Boogie Wit da Hoodie
50,Demons and Angels (feat. Juice WRLD),A Boogie Wit da Hoodie
47,Desconocidos,Mau y Ricky
47,Desconocidos,Mau y Ricky
41,Did It Again,Lil Tecca
41,Did It Again,Lil Tecca
24,Dile la Verdad,The Rudeboyz
24,Dile la Verdad,The Rudeboyz
48,Dirty Dirty (feat. Lil Skies),Smokepurpp
48,Dirty Dirty (feat. Lil Skies),Smokepurpp
37,Dirty Laundry,Danny Brown
37,Dirty Laundry,Danny Brown
25,Dissolve,Absofacto
25,Dissolve,Absofacto
21,Doin' Time,Lana Del Rey
