35,Catchy Song (feat. T-Pain & That Girl Lay Lay) [From The LEGO® Movie 2: The Second Part - Original Motion Picture Soundtrack],Dillon Francis
50,Caught Up (feat. Khalid),Majid Jordan
8,Cha Cha,Freddie Dredd
38,Change (with Kehlani),Arin Ray
13,Change Ya Life,Haiti Babii
39,Chicken Noodle Soup (feat. Becky G),j-hope
30,Chico (feat. Wiz Khalifa & Kap G),Alexcis
11,China,Anuel AA
29,Choppas on Choppas (feat. NLE Choppa),Action Pack
46,Church (Take Me Back),Cochren & Co.
27,Church (feat. EARTHGANG),Samm Henshaw
36,Cigarettes On Patios,BabyJake
31,Circles,Post Malone
24,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding
39,Clout (feat. Cardi B),Offset
11,"Collide - From ""Queen & Slim: The Soundtrack""",Tiana Major9
3,Come Along,Cosmo Sheldrake
24,Come Back,Brinley Addington
27,Come Thru (with Usher),Summer Walker
42,Con Altura,ROSALÍA
17,Con Calma,Daddy Yankee
16,Congratulations,pewdiepie
32,Contando Lunares (feat. Cruz Cafuné),Don Patricio
36,Coronao Now,El Alfa
30,"Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",Dreamville
42,Cover Me Up,Morgan Wallen
30,Cradles,Sub Urban
33,Crash Flow,Rae Rae
50,Creeker,Tyler Childers
31,Crime Pays,Freddie Gibbs
14,Cristina (feat. Shelow Shaq),Maffio
15,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran
4,Cross Off,Mark Morton
11,Crowded Table,The Highwomen
49,Cuban Links (feat. Kevin Gates),Rod Wave
49,Daddy (feat. Rich The Kid),Blueface
20,Dance Monkey,Tones And I
6,Dancin (feat. Luvli) - Krono Remix,Aaron Smith
28,Dancin - Krono Remix (Extended),Aaron Smith
6,Dancing With A Stranger (with Normani),Sam Smith
10,Daytrip,STEPHAN
36,Dear God,Dax
46,Death,Trippie Redd
28,Dedication (feat. Kendrick Lamar),Nipsey Hussle
50,Demons and Angels (feat. Juice WRLD),A Boogie Wit da Hoodie
47,Desconocidos,Mau y Ricky
41,Did It Again,Lil Tecca
24,Dile la Verdad,The Rudeboyz
48,Dirty Dirty (feat. Lil Skies),Smokepurpp
37,Dirty Laundry,Danny Brown
25,Dissolve,Absofacto
21,Doin' Time,Lana Del Rey
2,Don't Call Me Up,Mabel
30,Don't Check On Me (feat. Justin Bieber & Ink),Chris Brown
36,"Don't Give Up On Me - (From ""Five Feet Apart"")",Andy Grammer
38,Don't Let Her,Walker Hayes
33,Don't Start Now,Dua Lipa
36,Don't Think Twice,Hikaru Utada
17,Donna,The Lumineers
45,Double Up (feat. Belly and Dom Kennedy),Nipsey Hussle
6,"Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)",Dreamville
20,"Down Like That (feat. Rick Ross, Lil Baby & S-X)",KSI
34,Drunken Lullabies,Flogging Molly
19,EARFQUAKE,"Tyler, The Creator"
41,EX,Kiana Ledé
16,Earth,Lil Dicky
32,Eastside (with Halsey & Khalid),benny blanco
43,Easy,DaniLeigh
41,El Amar y el Querer,José José
50,El Chivo (feat. T3r Elemento),Berner
22,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dímelo Flow
9,El Güero,Marca MP
21,El Güero - En vivo,Marca MP
42,El Triste,José José
50,Elastic,Joey Purp
23,"Elevate (feat. Denzel Curry, YBN Cordae, SwaVay, Trevor Rich)",DJ Khalil
34,Ella Quiere Beber - Remix,Anuel AA
41,Empire State Of Mind,JAY-Z
12,Envy Me,Calboy
31,Esclavo de Tus Besos,Manuel Turizo
40,Even Though I'm Leaving,Luke Combs
37,Everybody Eats When They Come To My House,Cab Calloway
50,Everyday Is Like Halloween,Ministry
43,Everything I Need (From Aquaman: Original Motion Picture Soundtrack) - Film Version,Skylar Grey
4,Eyes. Lips. Face.,iLL Wayno
23,F.N,Lil Tjay
