36,B*tch From Da Souf,Latto,https://open.spotify.com/track/6tLWt7gkvvTSjS6OfJjiyJ
17,BEST ON EARTH (feat. BIA) - Bonus,Russ,https://open.spotify.com/track/2Xo3rLHjXfdb4avN68aQyi
43,BIG,Young M.A,https://open.spotify.com/track/7cyeGclH71MayOuQ7qtLFl
46,BIG TYME (feat. Swizz Beatz),Rick Ross,https://open.spotify.com/track/1ZnLtcV93kvm5Mz7wXVQ3z
25,BIRTHDAY,JEON SOMI,https://open.spotify.com/track/3jsWXhE5NuPWQ4IHplv2zt
32,BOP,DaBaby,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
1,BOYFREN,LoveLeo,https://open.spotify.com/track/2YJ7tTicU1vUmUjYNJROrv
45,BRB,Luh Kel,https://open.spotify.com/track/6XzfYkDC92LEazCUO63Znh
32,Baby,Amenazzy,https://open.spotify.com/track/2IA8cFA46DkjgbsRG7kKbp
47,Baby (Lil Baby feat. DaBaby),Quality Control,https://open.spotify.com/track/5MPPttjfGap2C6j6eKcO6J
28,Baby I'm Yours (feat. Irfane),Breakbot,https://open.spotify.com/track/3jhXwlBuSSxd0Vu6Y5pXDv
46,Baby Sitter (feat. Offset),DaBaby,https://open.spotify.com/track/7f1zjZG77S891Uv4O68yfk
11,Bachelorettes on Broadway,Willie Jones,https://open.spotify.com/track/277YJPrwcN4a1W3xaP06T0
24,Bad Bad Bad (feat. Lil Baby),Young Thug,https://open.spotify.com/track/1GeNui6m825V8jP4uKiIaH
42,Bad Idea (feat. Chance the Rapper),Cordae,https://open.spotify.com/track/5u431x19PX588bk9XGlwN8
34,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,https://open.spotify.com/track/2zjGJ0dChMR0KxBZS15aqo
35,Baila Baila Baila,Ozuna,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG
22,Baila Conmigo (feat. Kelly Ruiz),Dayvi,https://open.spotify.com/track/4Clmg1g8n2yBYG13Z1oSdG
49,Ballin' (with Roddy Ricch),Mustard,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
44,Bandit (with YoungBoy Never Broke Again),Juice WRLD,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
17,Be Gone Thot!,LIL MAYO,https://open.spotify.com/track/3G47RiG2PrvEVo4panDHi9
30,Be Honest (feat. Burna Boy),Jorja Smith,https://open.spotify.com/track/5pAbCxt9e3f81lOmjIXwzd
47,Beautiful Crazy,Luke Combs,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde
40,Beautiful People (feat. Khalid),Ed Sheeran,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
35,Beauty & Essex,Free Nationals,https://open.spotify.com/track/0cciBj4236w1xByzZvn92D
19,Becky,Championxiii,https://open.spotify.com/track/2VDadIDCFgDqvVCvaDPtn9
9,Beef FloMix,Flo Milli,https://open.spotify.com/track/52mXzUl4zRM6XC5hAxs1oh
19,Beer Never Broke My Heart,Luke Combs,https://open.spotify.com/track/5eDvChP4WAPPrtaQeI9MhT
29,Before You Go,Lewis Capaldi,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
22,Beggin',Madcon,https://open.spotify.com/track/5d9mTAEUMm61SjC9HKCFKq
21,Behind Barz - Bonus,Drake,https://open.spotify.com/track/4B7fTyj1FIPvP9tT5X3DnR
34,Bellacoso,Residente,https://open.spotify.com/track/1kMUGCt7XLDc5Q64Vl0H8S
38,Bellas,Anthony Santos,https://open.spotify.com/track/5MSlG8Mg7OQkgJ0on0Qrhl
40,Best Part (feat. Daniel Caesar),H.E.R.,https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig
33,Bestie (feat. Kodak Black),Bhad Bhabie,https://open.spotify.com/track/0jtTDKt1FRTnKbWtWSGLoy
32,Better Together,Luke Combs,https://open.spotify.com/track/1tSGw3h54aHModEHHL1HGK
46,Bezerk (feat. A$AP Ferg),Big Sean,https://open.spotify.com/track/2B9wgj9XzbJZLty03PRbVo
20,Big Drip,Fivio Foreign,https://open.spotify.com/track/4DkZDzcHicZBXCEdA19oWs
17,Big Ole Freak,Megan Thee Stallion,https://open.spotify.com/track/3YEbLhXRDPTtctnb3ddg8g
37,Big Plans,Why Don't We,https://open.spotify.com/track/6Yx181fZzA0YE2EkUsYruq
28,"Big, Big Plans",Chris Lane,https://open.spotify.com/track/7yNJCsUH3tXlpQiHSsAc5l
19,Birthday Suit,Cosmo Sheldrake,https://open.spotify.com/track/5feuWfAXA4rEKH9pXCjOV2
49,Bitch Lasagna,Party in Backyard,https://open.spotify.com/track/0xGl8HKFncXK7aFZRTGZsr
26,Bitchuary,Shordie Shordie,https://open.spotify.com/track/4dV3okcjbQwTcg4ObIGr4N
48,Bleed It,Blueface,https://open.spotify.com/track/67fNrBUMc7iWMofdCaoJV9
10,Blinding Lights,The Weeknd,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
25,Blue Laces 2,Nipsey Hussle,https://open.spotify.com/track/7yB6GF5kgPEoeGE4EAWiJU
3,Blueberry Fuego,Yeezys Activist,https://open.spotify.com/track/6ndQrwqaETxcgEwUAn7mau
30,Boasty (feat. Idris Elba),Wiley,https://open.spotify.com/track/7cz506PyIgh2bMN90Mc8Tn
18,Bola Rebola,Tropkillaz,https://open.spotify.com/track/1OUPXna2MCgAt3VNmXJBtg
9,Bon Bon Chocolat,EVERGLOW,https://open.spotify.com/track/06Pvy98db25O7wlfFFFIRM
42,Bones (feat. OneRepublic),Galantis,https://open.spotify.com/track/1pfgsjmxVZhoZpeDx6POKv
37,Borderline,Tame Impala,https://open.spotify.com/track/3O8X1DE9btbzy4UH9cSX9a
45,Bossa No Sé (feat. Jean Carter),Cuco,https://open.spotify.com/track/3SFnloABPd4n3d2B2KU2Zd
11,Boy With Luv (feat. Halsey),BTS,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
40,Boys Will Be Bugs,Cavetown,https://open.spotify.com/track/67EUBsc4qosGOVbaYy6TeX
49,Breathe,The Prodigy,https://open.spotify.com/track/5oPUBUzrAnwvlmMzl1VW7Y
25,Broke,Samm Henshaw,https://open.spotify.com/track/1JqcZQCnxjDOfZZwQidb1H
28,Brothers,Bankrol Hayden,https://open.spotify.com/track/0Iu5gAorcdocbx2Nz5Vos5
41,Buff Baby,tobi lou,https://open.spotify.com/track/1F1QmI8TMHir9SUFrooq5F
11,Burnin' Up,Jonas Brothers,https://open.spotify.com/track/68r3esIMdWpIeZqWZQDnfY
10,Bust It Open,Lil Wil,https://open.spotify.com/track/0dFe6I9QRA9Lld5YXrXIOG
30,Buttercup,Jack Stauber,https://open.spotify.com/track/2mlGPkAx4kwF8Df0GlScsC
31,Butterflies,Kacey Musgraves,https://open.spotify.com/track/30VHURM5NOfoZmqp2iKawS
