Rank,City,State,Population,County,2020 land area,,2020 population density,,Location,
44,Miami,Florida,"442,241",Miami-Dade,0.1071,36.0 sq mi,93.2 km2,"12,284/sq mi","4,743/km2",25.77°N 80.20°W
45,Oakland,California,"440,646",Alameda,0.1278,55.9 sq mi,144.8 km2,"7,883/sq mi","3,044/km2",37.76°N 122.22°W
46,Minneapolis,Minnesota,"429,954",Hennepin,0.1238,54.0 sq mi,139.9 km2,"7,962/sq mi","3,074/km2",44.96°N 93.26°W
47,Tulsa,Oklahoma,"413,066",Tulsa,0.054,197.5 sq mi,511.5 km2,"2,091/sq mi",807/km2,36.12°N 95.90°W
48,Bakersfield,California,"403,455",Kern,0.1611,149.8 sq mi,388.0 km2,"2,693/sq mi","1,040/km2",35.32°N 119.01°W
49,Wichita,Kansas,"397,532",Sedgwick,0.0397,162.0 sq mi,419.6 km2,"2,454/sq mi",947/km2,37.69°N 97.34°W
50,Arlington,Texas,"394,266",Tarrant,0.0789,95.9 sq mi,248.4 km2,"4,111/sq mi","1,587/km2",32.70°N 97.12°W
51,Aurora,Colorado,"386,261",Aurora,0.1882,160.1 sq mi,414.7 km2,"2,413/sq mi",932/km2,39.68°N 104.68°W
52,Tampa,Florida,"384,959",Hillsborough,0.1467,114.0 sq mi,295.3 km2,"3,377/sq mi","1,304/km2",27.97°N 82.47°W
53,New Orleans,Louisiana,"383,997",New Orleans,0.1168,169.5 sq mi,439.0 km2,"2,265/sq mi",875/km2,30.05°N 89.93°W
54,Cleveland,Ohio,"372,624",Cuyahoga,-6.10%,77.7 sq mi,201.2 km2,"4,796/sq mi","1,852/km2",41.47°N 81.67°W
55,Honolulu,Hawaii,"350,964",Honolulu,0.0406,60.5 sq mi,156.7 km2,"5,801/sq mi","2,240/km2",21.32°N 157.84°W
56,Anaheim,California,"346,824",Orange,0.0314,50.3 sq mi,130.3 km2,"6,895/sq mi","2,662/km2",33.85°N 117.76°W
57,Lexington,Kentucky,"322,570",Middlesex,0.0905,283.6 sq mi,734.5 km2,"1,137/sq mi",439/km2,38.04°N 84.45°W
58,Stockton,California,"320,804",San Joaquin,0.0997,62.2 sq mi,161.1 km2,"5,158/sq mi","1,992/km2",37.97°N 121.31°W
