week rank,song,artist,lyrics,slang
50,El Chivo,Berner,"El Chivo Lyrics[Letra de ""El Chivo"" ft. T3R Elemento]

[Intro: Sergio Cárdenas]
Un, dos, tres, ah

[Chorus: Kristopher Nava]
Me desperté relax, voy a desayunar
Un Cereal Milk de la Cookies que ahora es medicinal
Las vibras del papel me hicieron levantar
Con el humo que aviento todo esto se va a soltar
El Chivo ahora aquí está, la quarter está de más
Me pasa el toque, la devuelve y todo está normal (Yeah)

[Verse 1: Berner]
We pull it fresh off the branch
Smoking out the pound bag while these clear stones dance (Too many dancin')
Weed from Northern California but my papers are from France (We smokin' lots)
Had to go big, fuck it, you only get one chance (You only get one chance)
Why they call me El Chivo? 'Cause I feed all my people (El Chivo)
Been rich since nine-six, 'fore the weed went legal (Bags)
Big farms, new cars, and a few jars
The Cereal Milk taste so crazy I'ma need more (Receipts)
Yeah, I just opened up a weed store (Weed store)
Blue bags got your boy in a weed war (I'm in a weed war)
Kris, they ain't smoking like this (Nah)
The Gelato with the mints, that's a hell of a mix, damn
[Chorus: Kristopher Nava]
Me desperté relax, voy a desayunar
Un Cereal Milk de la Cookies que ahora es medicinal
Las vibras del papel me hicieron levantar
Con el humo que aviento todo esto se va a soltar
El Chivo ahora aquí está, la quarter está de más
Me pasa el toque, la devuelve y todo está normal

[Verse 2: Berner]
Dog, this shit smell like candy (Like candy)
In the cut, rollin' up, getting high with my family (With my family)
In the Andes, lookin' for the seeds they grew in the '60's (I'm in Columbia)
All this smoke in the studio, it got your boy dizzy (It got me dizzy)
I got bags in my trunk, where the glow tray? (Glow tray)
Groupie girls in my show wanna role play (Get my drama on)
I'm so paid I eat steak on a gold plate
My watch look like a block full of snowflake
Grow something if you got it
The Cello got us right, the whole world want it (Damn)
Kris, they ain't smokin' like this
The Cheetah Piss got me lazy as shit, ha

[Chorus: Kristopher Nava]
Me desperté relax, voy a desayunar
Un Cereal Milk de la Cookies que ahora es medicinal
Las vibras del papel me hicieron levantar
Con el humo que aviento todo esto se va a soltar
El Chivo ahora aquí está, la quarter está de más
Me pasa el toque, la devuelve y todo está normal
[Verse 3: Kristopher Nava]
Es que no tengo la paciencia de pensar en negativo
Como dice el compa Chivo ""mejor quema un gallito""
Woah
Es que no tengo la paciencia de pensar en negativo
Como dice el compa Chivo ""mejor quema un gallito""
Woah

[Chorus: Kristopher Nava]
Me desperté relax, voy a desayunar
Un Cereal Milk de la Cookies que ahora es medicinal
Las vibras del papel me hicieron levantar
Con el humo que aviento todo esto se va a soltar
El Chivo ahora aquí está, la quarter está de más
Me pasa el toque, la devuelve y todo está normal4Embed","lit  , lit  , tea  , receipt , "
22,El Favor,Dímelo Flow,"El Favor Lyrics[Letra de ""El Favor"" ft. Sech, Zion & Lunay]

[Intro: Nicky Jam, Farruko, Lunay, *Zion* & Sech]
*Flow-Flow dime algo*
Nicky-Nicky-Nicky Jam
Uh-uh-uh, uh
¡Farru! (Yeh-yeh-yeh-yeh)
Lu-Lu-Lunay
*Zion, baby*
Este es Sech (*Eh-eh*)

[Pre-Coro: Sech & Zion, Ambos]
Dime, ¿qué paso está vez? (Está vez)
¿Por qué me llamas? (Llamas)
¿Será que peleas otra vez con tu novio, y te dejo con ganas? (Gana-as)
Ya te diste cuenta que (Que, eh)
Está relación no es sana, ah-ah (Oh-oh-oh; oh-oh-oh,-oh)
Y si tu cama está fría
Puedes quedarte en la mía

[Coro: Zion & Nicky Jam, Ambos]
De vez en cuando, yo te hago el favor, bebé
Solo llama cada vez que él te esté peleando, oh-oh
De vez en cuando, yo te hago el favor, bebé
Solo llama cada vez que él te esté peleando
[Verso 1: Farruko]
Pri-yah, yah; laramercy gang (Laramercy gang); ¡Farru!
De vez en cuando tú me llama' y yo te piso (¡Po!)
Nos desacatamo' y le vamo' a dar hasta el piso (Yah-yah)
No me de' queja, no me interesa que quiso
Y a mí tú no me tiene, baby, que pedir permiso (Jajaja)
Tú solo caile que aquí vo'a estar hasta tarde
Te tengo gana', baby, llégale y no tarde' (Tra)
No sé porque tú sigues con ese cobarde
Pero si a ti te gusta entonces, ma', que Dios te guarde (¡Pu-pu-pu-pum!)
Tú me llama' cuando te dan ganas
Escápatele al pana y quédate hasta mañana (Jajajaja)

[Verso 2: Nicky Jam]
Yeh-yeh
Yo te hago el favor, solo mándame la ubi (La ubi)
""Soy tu amante"", se llama la movie (La movie)
Donde mi papel es complacer todo lo que me pida ese booty
No te desespere' que está noche yo te robaré (Robaré)
To'as las cosas que yo te quiero hacer
Yo si te hago sentir mujer

[Coro: Lunay, Nicky Jam, Nicky Jam & Zion]
De vez en cuando, yo te hago el favor, bebé
Solo llama cada vez que él te esté peleando, oh-oh
De vez en cuando, yo te hago el favor, bebé
Solo llama cada vez que él te esté peleando
[Verso 3: Lunay]
Lu-Lu-Lunay, eh
Baby, tú me llama' (Llama')
Entro a tu casa y rápido él te llama (Te llama), cuida'o
Recoge la cama (La cama)
Pa' que cuando llegue no sospeche nada (Nada; cuida'o)
Si fui yo, si fui yo quien la cuqué
Si fui yo quien la llamé,  y después la calenté (Calenté)
Mala mía, si yo se la quite
Pero ella sin gatear cayó rendi'a a mis pie', eh-eh

[Verso 4: Zion]
Tú y yo mirando', oh-oh (Oh, oh-oh-oh)
Deseándono', calentándono', oh-oh (¡Yah!)
Tú y yo no' miramo' como si las mirada' mataran
Después que estuviesen muertas ya hace rato
Yo te parto de inmediato, oh
Cada vez que te haga algo raro

[Pre-Coro: Sech & Zion, Ambos]
Dime, ¿qué paso está vez? (Está vez)
¿Por qué me llamas? (Llamas)
¿Será que peleas otra vez con tu novio y te dejo con ganas? (Gana-as)
Ya te diste cuenta que (Que, eh)
Está relación no es sana, ah-ah (Oh-oh-oh; oh-oh-oh,-oh)
Y si tu cama está fría
Puedes quedarte en la mía
[Coro: Zion & Nicky Jam, Ambos]
De vez en cuando, yo te hago el favor, bebé
Solo llama cada vez que él te esté peleando, oh-oh
De vez en cuando, yo te hago el favor, bebé
Solo llama cada vez que él te esté peleando, oh

[Outro: Zion & Sech]
Yo te hago el favor, bebé
Que él te esté peleando, oh-oh
(Rich Music)1Embed","tea  , "
9,El Güero,Marca MP,"El Güero Lyrics[Letra de ""El Güero""]

[Intro]
De los Corredones originales
Con mis compas de Grupo Firme
Dice, más o menos, así

[Verso 1]
Yo no soy lúcido, mucho menos presumido
Pero sí me doy a respetar
A los envidiosos vieran cómo los detesto
Porque nomás hablan por hablar
Pacas de billetes, produciendo diariamente
Pues, mi meta ha sido duplicar
Odio las mentiras, pero adoro a mi familia
Y por ellos yo voy a luchar

[Coro 1]
Y la Cruz de Elota llevo en mi pecho
Ranchito que no he de olvidar
Revivir mi infancia, pero ya tengo ganancias
Y, gracias a Dios, ya andamos bien vestidos
Zapatito' fino' los que me ven aportar
Ahorita andamos bateando, poco a poco progresando
Y nadie me va a tumbar
[Interludio]
Y pura Marca MP con Bachato
Así suena Grupo Firme, compa' Edwin (Uh)
Y la Banda Nuevo Estilo, mi viejo
Y puro music VIP, viejo
Puro art and music, viejo

[Verso 2]
No soy traficante, pero festejo a lo grande
Y con amigos jalo un buen bandón
Tengo mil veinte años y el que ocupe de mi mano
Tendrá cien por ciento mi apoyo
Ni rico ni pobre, pero tengo lo que quiero
Y mis gustos siempre me los doy
Mucho le agradezco al viejón por sus consejos
Y por todo lo que me inculcó

[Coro 2]
Y mientras hay que disfrutar la vida
Porque cualquier día se nos va
Muchas cosas me han pasado
Pero nunca me he quebrado
Y todo gracias al Señor de arriba
Que me cuida y me protege todo el tiempo del mal
Por el valle ruleteando, en mi carro ando zumbando
El güero, se oye mentar
[Outro]
Ahí nomás, pa' las Cocas (Uh)Embed","af  , tea  , tea  , "
42,El Triste,José José,"El Triste LyricsLetra de ""El Triste""

[Verso 1]
Que triste fue decirnos adiós
Cuando nos adorábamos más
Hasta la golondrina emigró
Presagiando el final

Que triste luce todo sin ti
Los mares de las playas se van
Se tiñen los colores de gris
Hoy todo es soledad

[Pre-Coro]
No sé si vuelva a verte después
No sé que de mi vida será
Sin el lucero azul de tu ser
Que no me alumbra ya

[Coro]
Hoy quiero saborear mi dolor
No pido compasión ni piedad
La historia de este amor se escribió
Para la eternidad

[Puente]
Que triste todos dicen que soy
Que siempre estoy hablando de ti
No saben que pensando en tu amor
En tu amor he podido ayudarme a vivir
He podido ayudarme a vivir
[Coro]
Hoy quiero saborear mi dolor
No pido compasión ni piedad
La historia de este amor se escribió
Para la eternidad

[Outro]
Que triste todos dicen que soy
Que siempre estoy hablando de ti
No saben que pensando en tu amor
En tu amor he podido ayudarme a vivir
He podido ayudarme a vivir
He podido ayudarme a vivir3Embed",
50,Elastic,Joey Purp,"ELASTIC Lyrics[Intro]
Yeah
Yeah

[Verse 1]
You remind me of butterfly doors
Waist tight with a body like gold
Hit you with the Doug E. Fresh pose
Rick James, ""Super Freak,"" what you know about those? Yeah
Why you came with it, then?
Don't look, don't touch, don't play with it, then, yeah
You don't gotta think like that
How your man sold things? He ain't got it like that, yeah
You could ride the wave if you wanna (Woo!)
Spend a couple days, you could stay if you wanna (Oh, yeah?)
Go on'n' spend the night— night with a—
This a first-class flight, don't fight with a nigga, yeah

[Chorus]
(WOO!) She a freak, she a dancer
She gon' pop it on camera
(WOO!) Throw it back if you nasty
Bounce it like it's elastic
Go 'head, break it down real low
(GO!) Go 'head, break it down real low
(GO!) Go 'head, break it down real low
Stop playing with it, red light, green light, go
[Verse 2]
You remind me of suicide doors
Pretty face with a body like ""whoa""
(WOO!) Hit it with the lavalamp on
Catch a cab, pack a bag with your overnight clothes, yeah
You could look good for a living
Come chill for a while, what's good for a minute? Yeah
I'm just tryna get a taste 'fore I get it
Like this, like that, like this, like that, ayy
Pretty Coke-bottle-frame hoes (HEY!)
Patty-cake, patty-cake, anything goes (HEY!)
Red light, green light, go
Stop playing with it, go on'n' break it down real low, ugh

[Chorus]
(WOO!) She a freak, she a dancer
She gon' pop it on camera
(WOO!) Throw it back if you nasty
Bounce it like it's elastic
Go 'head, break it down real low
(GO!) Go 'head, break it down real low
(GO!) Go 'head, break it down real low
Stop playing with it, red light, green light, go
(WOO!) She a freak, she a dancer
She gon' pop it on camera
(WOO!) Throw it back if you nasty
Bounce it like it's elastic
Go 'head, break it down real low
(GO!) Go 'head, break it down real low
(GO!) Go 'head, break it down real low
(GO!) Go 'head, break it down real low
(WOO!) She a freak, she a dancer
She gon' pop it on camera
(WOO!) Throw it back if you nasty
Bounce it like it's elastic
Go 'head, break it down real low
(GO!) Go 'head, break it down real low
(GO!) Go 'head, break it down real low
Stop playing with it, red light, green light—4Embed",
23,Elevate,DJ Khalil,"Elevate Lyrics[Intro: Trevor Rich]
Stepped out of my zone (My zone)
I had to get out all alone (Alone)
And figure it out on my own (My own)
And I know what I really want now
Can't stop me, can't break me (Can't break)
What don't kill me, gon' make me (Gon' make)
Shoot for the stars, no safety (No safety)
And now I see clear in HD

[Chorus: Trevor Rich]
Gotta go hard (Gotta go hard)
I ain't got time to waste (I ain't got time)
I gotta go high (Gotta go high)
I gotta elevate (I gotta elevate)
They wanna fight (They wanna fight)
I'm just gon' let 'em hate (I'm just gon' let 'em hate)
I gotta go high (Gotta go high)
I gotta elevate (I gotta elevate)

[Post-Chorus: Trevor Rich]
You better choose a side, you gotta choose a side
You gotta pick
You better do what's right or you gonna lose the fight
You gotta (Gotta go hard)
You better choose a side, you gotta choose a side (I'm just 'gon let 'em hate)
You gotta pick (Gotta go hard)
You better do what's right or you gonna lose the fight (I gotta elevate)
[Verse 1: Denzel Curry]
I'm a web-slinger to a gunslinger
No millimeter, this is my arena
I'm the black widow with a bad stinger
And I'll make you scream like a bad singer
I'm everything that you wanna be plus more
Since there's no heroes anymore
Jump out the window, then put the mask on
Who the bad man that a man gotta bash on?
Hope we'll never link up
Blink and you will see us
Thumbprints 'bout to ink up
See me in the NYC
You can never swing by me
Hope we'll never link up
Blink and you will see us
Thumbprints 'bout to ink up
See me in the NYC
Home of the B.I.G, look
They will slander me, I just plan to be
Somethin' powerful for my family
Try to balance life and my sanity
Show a different side of humanity
So amazin', keep appraisin'
Save you from a home invasion
Chasin' robbers from the bank
You facin' friendly neighborhood Spider-Man
[Chorus: Trevor Rich]
Gotta go hard (Gotta go hard)
I ain't got time to waste (I ain't got time)
I gotta go high (Gotta go high)
I gotta elevate (I gotta elevate)
They wanna fight (They wanna fight)
I'm just gon' let 'em hate (I'm just gon' let 'em hate)
I gotta go high (Gotta go high)
I gotta elevate (I gotta elevate)

[Verse 2: YBN Cordae]
Okay
I fight crime through the nighttime
When the light shine, I go python
I've fallen, on my last lifeline
There's no way in my right mind
My city up on my back tight
How can I possibly act right?
I'm Robin Hood, I'm the Black Knight
I know you heard 'bout my last fight
'Cause I win, over and over again
Battlin' evil, I'm hopin' to win
Fightin' my demons, I'm nice for a reason
Enticed with the bleedin', I'm showin' my sins
How can you expect me to stay sane? Protect me
My technique go X speed on high waves and jet skis
I jump off this building to save these civilians
My strength and my honor is trusted by children
I'm ready and willing to fight all these villains
No chaos or killings, my style is so brilliant
[Chorus: Trevor Rich]
Gotta go hard (Gotta go hard)
I ain't got time to waste (I ain't got time)
I gotta go high (Gotta go high)
I gotta elevate (I gotta elevate)
They wanna fight (They wanna fight)
I'm just gon' let 'em hate (I'm just gon' let 'em hate)
I gotta go high (Gotta go high)
I gotta elevate (I gotta elevate)

[Post-Chorus: Trevor Rich]
You gotta choose a side, you gotta choose a side
You gotta pick
You gotta do what's right or you gonna lose the fight
(I gotta elevate)

[Verse 3: SwaVay]
Look, I ain't got no time to be hangin' around
Nobody tryna figure out if they good or evil
I'm fightin' the crimes, savin' your lives
One at a time, I'm killin' the rhymes
I do it for the people
I'm Peter Parker running through the 6 with a bag full of tricks
My boy, you better choose a side
I may have lost the battle but I will not lose the war
I can promise you I will not lose this time
And I did it all independent, no really, all independent
Now we winnin', I got my homies cookin' up in the kitchen
Intuition, so we gon' have to win and come for some business
The world is mine and you gon' have to pay me attention
And I did everything that I did on my own
I'm a one-to-one for real, there can never be a clone
Better talk to me nice, better watch yo' tone
And I'm puttin' on for my home zone so I gotta go hard

[Chorus: Trevor Rich]
Gotta go hard (Gotta go hard)
I ain't got time to waste (I ain't got time)
I gotta go high (Gotta go high)
I gotta elevate (I gotta elevate)
They wanna fight (They wanna fight)
I'm just gon' let 'em hate (I'm just gon' let 'em hate)
I gotta go high (Gotta go high)
I gotta elevate (I gotta elevate)16Embed","bet , bet , bet , bet , bet , bet , bet , af  , af  , "
34,Ella Quiere Beber ,Anuel AA,"Ella Quiere Beber (Remix) Lyrics[Letra de “Ella Quiere Beber (Remix)”]

[Intro: Romeo Santos & Anuel AA]
Check, check (Remix)
I'mma show you why I'm the king of this shit
Uah
(KOB, Real Hasta La Muerte, baby)

[Verso 1: Romeo Santos]
Cuando una mujer decide ser mala y no quiere dueño
Probablemente un hombre la engañó en su vida, sin sentimientos
Rumba, el pasado lo enterró en la tumba
La mala tiene vida, la buena es la difunta
Ahora, pal' carajo la envidia de todas
Todo bobolon que se le acerque ella lo ignora
Tan callaí'ta que era la nena
Ahora es candela
La veo cazando con veinte botellas
Presiento un problema
Yo soy servicial con sus deseos
Si me pide como R Kelly yo la- (Nasty)
No me gustan chamaquitas
Solo hago lo que la bebé le excita
Él le falló-ó-ó y la traicionó-ó-ó
Ahora ella va a vengarse en mi cama
[Coro: Anuel AA]
Ella quiere beber, ella quiere bailar
Su novio la dejó y lo quiere olvidar
Ella se entregó y el tipo le falló
Y por eso se va a rumbear (Rumbear)
Ella quiere beber, ella quiere bailar
Su novio la dejó y lo quiere olvidar
Ella se entregó y el tipo le falló
Y por eso se va a rumbear

[Verso 2: Anuel AA, Anuel AA & Romeo Santos]
En el Phantom yo te voy a buscar
Baby, tú nunca me va' a olvidar (Bebé)
Yo necesito que me enseñe' a amar (Amar)
Bebecita, yo te vo' a devorar
Bebecita, tu cuerpo y tú a mí me excitan (uah)
Por dentro tu me necesita'
Tú siempre va' a ser mi diablita
Mi loquita, mojaíta'
Tu cuerpo y tú a mí me excitan
Por dentro tú me necesita'
Tú siempre va' a ser mi diablita
Mi loquita, bien bonita

[Coro: Romeo Santos]
Ella quiere beber, ella quiere bailar
Su novio la dejó y lo quiere olvidar
Ella se entregó y el tipo le falló
Y por eso se va a rumbear
Ella quiere beber, ella quiere bailar
Su novio la dejó y lo quiere olvidar
Ella se entregó y el tipo le falló
Y por eso se va a rumbear
[Verso 3: Anuel AA]
Ella me miraba desde lejo'
Bailando en un hilito de Romeo (uah)
Nunca escuchaba lo' consejo'
En sus ojos siempre veo mis reflejos
Le falló-ó-ó y la traicionó-ó-ó
Ella se emborrachó-ó y conmigo se escapó-ó-ó
Veinte botella', champaña rosada
La bebecita me deseaba (uah)
Una diablita, ella me devoraba (uah)
Y yo adentro 'e su piel
Me enterraba (uah)
Dios mío, qué rico, baby (baby)
Su cuerpo se apodera de mí (de mí)
Temblando en un orgasmo pa' mí (pa' mí)
Real Hasta La Muerte, baby

[Coro: Anuel AA & Romeo Santos]
Ella quiere beber, ella quiere bailar (Bailar)
Su novio la dejó y lo quiere olvidar
Ella se entregó y el tipo le falló
Y por eso se va a rumbear
Ella quiere beber, ella quiere bailar
Su novio la dejó y lo quiere olvidar
Ella se entregó y el tipo le falló
Y por eso se va a rumbear
[Outro: Anuel AA & Romeo Santos]
Uah-uah, eh
Mera dime Romeo
Los Intocables, Los Illuminatis
El Remix mas hijo de la gran puta
Estoy con el king, ¿oi'te bebé?
Bebé
Real Hasta La Muerte
Chris Jeday
Gaby Music
(Real Hasta La Muerte, baby)
Brrrr4Embed","lit  , lit  , lit  , lit  , cap  , stan "
10,emotions,iann dior,"emotions Lyrics[Chorus]
In my head, she said it's all in my head (My head)
But it's not, think I'd rather be dead (Be dead)
Can't forgive or forget what you did (You did)
She said I drove her away with my emotions (I drove her away)
Can't take the pain anymore, I'm feeling hopeless (Can't take the pain)
In my head, she said it's all in my head (My head)
But it's not, think I'd rather be dead (Be dead)
Can't forgive or forget what you did (You did)

[Verse]
I don't even know why I try
You did me wrong
And I can't forget that
Tell me what you want
I know it's a lie (Lie)
You broke my heart
And you cannot fix that
You can't erase what you've done to me
But certainly, all you do is burden me
It's hurting deep
Our past is like a blur to me
It's hard to see, but look what you have done to me

[Bridge]
What you want?
What you want from me?
What you want?
What you want from me?
What you want?
What you want from me?
[Chorus]
In my head, she said it's all in my head (My head)
But it's not, think I'd rather be dead (Be dead)
Can't forgive or forget what you did (You did)
She said I drove her away with my emotions (I drove her away)
Can't take the pain anymore, I'm feeling hopeless (Can't take the pain)
In my head, she said it's all in my head (My head)
But it's not, think I'd rather be dead (Be dead)
Can't forgive or forget what you did (You did)

[Outro]
In my head, she said it's all in my head (My head)
But it's not, think I'd rather be dead (Be dead)
Can't forgive or forget what you did (You did)30Embed",
41,Empire State Of Mind,JAY-Z,"Empire State of Mind Lyrics[Intro: JAY-Z]
Yeah

[Verse 1: Jay-Z]
Yeah, I'm out that Brooklyn, now I'm down in Tribeca
Right next to De Niro, but I'll be hood forever
I'm the new Sinatra, and since I made it here
I can make it anywhere, yeah, they love me everywhere
I used to cop in Harlem–hola, my Dominicanos (Dimelo!)
Right there up on Broadway, brought me back to that McDonald's
Took it to my stash spot, 560 State Street
Catch me in the kitchen, like a Simmons whippin' pastry
Cruisin' down 8th Street, off-white Lexus
Drivin' so slow, but BK is from Texas
Me? I'm out that Bed-Stuy, home of that boy Biggie
Now I live on Billboard and I brought my boys with me
Say what up to Ty Ty, still sippin' Mai Tais
Sittin' courtside, Knicks and Nets give me high fives
Nigga, I be spiked out, I could trip a referee
Tell by my attitude that I'm most definitely from

[Chorus: Alicia Keys & Jay-Z]
In New York (Ayy, aha) (Uh, yeah)
Concrete jungle (Yeah) where dreams are made of
There's nothin' you can't do (Yeah) (Okay)
Now you're in New York (Aha, aha, aha) (Uh, yeah)
These streets will make you feel brand-new (New)
Big lights will inspire you (Come on) (Okay)
Let's hear it for New York (You welcome, OG) (Uh)
New York (Yeah), New York (Uh) (I made you hot, nigga)
[Verse 2: Jay-Z]
Catch me at the X with OG at a Yankee game
Shit, I made the Yankee hat more famous than a Yankee can
You should know I bleed blue, but I ain't a Crip though
But I got a gang of niggas walkin' with my clique though
Welcome to the meltin' pot, corners where we sellin' rock
Afrika Bambaataa shit, home of the hip-hop
Yellow cab, gypsy cab, dollar cab, holla back
For foreigners, it ain't fair, they act like they forgot how to add
Eight million stories out there in the naked
City, it's a pity half of y'all won't make it
Me? I gotta plug Special Ed, ""I Got It Made""
If Jeezy's payin' LeBron, I'm payin' Dwyane Wade
Three dice cee-lo, three-card Marley
Labor Day Parade—rest in peace, Bob Marley
Statue of Liberty, long live the World Trade
Long live the king, yo—I'm from the Empire State, that's
[Chorus: Alicia Keys & Jay-Z]
In New York (Ayy) (Uh, yeah)
Concrete jungle where dreams are made of
There's nothin' you can't do (That boy good) (Okay)
Now you're in New York (Welcome to the bright lights, baby) (Uh, yeah)
These streets will make you feel brand-new
Big lights will inspire you (Okay)
Let's hear it for New York (Uh)
New York (Yeah), New York (Uh)
[Verse 3: Jay-Z]
Lights is blinding, girls need blinders
So they can step out of bounds quick, the side lines is
Lined with casualties who sip the life casually
Then gradually become worse – don't bite the apple, Eve!
Caught up in the in-crowd, now you're in-style
Into the winter gets cold, en vogue with your skin out
City of sin is a pity on a whim
Good girls gone bad, the city's filled with them
Mami, took a bus trip, now she got her bust out
Everybody ride her, just like a bus route
""Hail Mary"" to the city, you're a virgin
And Jesus can't save you, life starts when the church end
Came here for school, graduated to the high life
Ball players, rap stars, addicted to the limelight
MDMA got you feelin' like a champion
The city never sleeps, better slip you a Ambien
[Chorus: Alicia Keys & Jay-Z]
In New York (Ayy, ow) (Uh, yeah)
Concrete jungle where dreams are made of
There's nothin' you can't do (Okay)
Now you're in New York (Uh, yeah)
These streets will make you feel brand-new
Big lights will inspire you (Okay)
Let's hear it for New York (Uh)
New York (Yeah), New York (Uh)
[Bridge: Alicia Keys]
One hand in the air for the big city (Oh)
Street lights, big dreams, all lookin' pretty (Oh)
No place in the world that could compare (Nah)
Put your lighters in the air, everybody say
""Yeah, yeah"" (Come on, come on)
""Yeah, yeah"" (Come on)

[Chorus: Alicia Keys]
In New York (Uh, yeah)
Concrete jungle where dreams are made of
There's nothin' you can't do (Okay)
Now you're in New York (Uh, yeah)
These streets will make you feel brand-new
Big lights will inspire you (Okay)
Let's hear it for New York (Uh)
New York (Yeah), New York (Uh)141Embed","bet , af  , "
12,Envy Me,Calboy,"Envy Me Lyrics[Chorus]
Now I lay me down to sleep (Now I lay me down to sleep), ayy
I pray the Lord my soul to keep (I pray the Lord my soul to keep), yeah, ayy
Like a locksmith, I got the keys (Like a locksmith, I got the keys), yeah, ayy
Pull up, make opp niggas bleed (Pull up, make opp niggas bleed), yeah, ayy
I got water like overseas, yeah, ayy (Overseas)
Bitch, I ball like NBA (Bitch, I ball like NBA), yeah, ayy
Bitch, I ball like MVP (Bitch, I ball like MVP), yeah, ayy
I got money, they envy me (I got money, they envy me)

[Verse]
I'm with the gang, I'm with the mob, what was you thinkin'?
Remember them days, and that shit was hard, a nigga been thinkin' (Yeah)
I put a four in a twenty ounce, a nigga been drinkin' (Yeah)
If you with the squad, I give you my heart, lil' nigga, I mean it (Yeah)
I was fighting some demons, in the field, bitch, I'm deep in (Deep in)
I was raised in the deep end (Deep end), I know niggas be sinkin' (Sinkin')
Take your bitch and go deep in, but I gave her back, why you tweakin'? (Tweakin')
Come around with that rah-rah, we leave you dead on the cement (On the cement)
With the gang, we ain't playing fair
Matter fact, we don't play at all
OG 'Woods in the air
But we bought the Runtz so we smoke it all
Putting on a front, boy, you better fall
We gon' kill 'em dead, we gon' kill 'em all
Might spend a ten when I'm in the mall
I was on the bend with it in my drawers
Hit that smoke and I'm blackin' (Blackin')
Hit that smoke and I black out
If he run, blow his back down
I was gone but I'm back now
These niggas gon' fold, but I never back down
In the school, I was trappin' (Trappin')
In the school, you was class clown (Class clown)
[Chorus]
Ayy, now I lay me down to sleep, ayy
I pray the Lord my soul to keep, yeah, ayy
Like a locksmith, I got the keys, yeah, ayy
Pull up, make opp niggas bleed, yeah, ayy
I got water like overseas, yeah, ayy
Bitch, I ball like NBA, yeah, ayy
Bitch, I ball like MVP, yeah, ayy
I got money, they envy me44Embed","bet , squad , "
31,Esclavo de Tus Besos,Manuel Turizo,"Esclavo de Tus Besos Lyrics[Letra de ""Esclavo de Tus Besos""]

[Intro: Manuel Turizo & Ozuna]
Prometí olvidarte
Pero a dónde voy llevo tu recuerdo conmigo
Es mi corazón que no te dice adiós
Pero en mi mente te lo digo, oh

[Pre-Coro: Manuel Turizo]
Hoy quiero decirle adiós a la soledad
Salir a buscarte, sin ti no puedo más
Voy a confesar lo que no dije jamás
No hay punto final

[Coro: Ozuna & Manuel Turizo]
Yo te confieso, me vuelvo loco cuando tengo tu cariño
Soy esclavo de tus besos, aceleran mis latidos
También que sepas que sería poco decir ""Quiero estar contigo""
Tu nombre: mi primer verso, y de último: tu apellido

[Verso 1: Manuel Turizo]
En mi desvelo
Cada que cierro los ojos yo a ti te veo
Poco a poco en tu recuerdo siento el deseo
De compartir contigo lo que ya no puedo
""Volverá"" le digo to' el día a la soledad
El brillo de su mirar regresará
Y se irá la oscuridad que me está matando
""Volverá"" le digo to' el día a la soledad
Moriría si regresaras
Lady, no perdamos tiempo y dime la verdad
[Coro: Ozuna & Manuel Turizo]
Yo te confieso, me vuelvo loco cuando tengo tu cariño
Soy esclavo de tus besos, aceleran mis latidos
También que sepas que sería poco decir ""Quiero estar contigo""
Tu nombre: mi primer verso, y de último: tu apellido

[Verso 2: Ozuna]
(Jaja; Ozuna)
Sería poco ya decir que quiero estar contigo
Sería poco que tú y yo seamo' solo amigo'
Hay mucho má' en tu corazón que en el mío (Oh, oh)
Quiero abrigarte y abrazarte, que no te dé frío
Nunca conocer la soledad
Seguro no querrá' que se acabe la madrugá' (Ah, ah-ah)
Un poco 'e vallenato pa' lo viejo recordar
Bachatita' de Romeo cuando ella quiere bailar (Oh, oh)

[Puente: Ozuna]
Lo más que me gusta de ella: no necesita apariencia
Tiene diez amiga' y ninguna son competencia
Sabe lo que da, que no lo opine la audiencia
Entra pa' la disco y se me convierte en tendencia
Lo más que me gusta de ella: no necesita apariencia
Tiene die' amiga' y ninguna son competencia
Sabe lo que da, que no lo opine la audiencia (Woh-oh)
Entra pa' la disco y se me convierte en tendencia (Baby)
[Coro: Manuel Turizo]
Yo te confieso, me vuelvo loco cuando tengo tu cariño
Soy esclavo de tus besos, aceleran mis latidos
También que sepas que sería poco decir ""Quiero estar contigo""
Tu nombre: mi primer verso, y de último: tu apellido

[Outro: Manuel Turizo & Ozuna]
(Oh-oh-oh-oh-oh)
Manuel Turizo
Ozuna (Oh-oh-oh-oh-oh)
Ozuna
Zensei
Julián Turizo
La Industria, Inc
(Prometí olvidarte
Pero a dónde voy llevo tu recuerdo conmigo
Es mi corazón que no te dice adiós
Pero en mi mente te lo digo, oh)Embed",
