Position,"Track Name",Artist,URL
8,Can You Imagine That?,Emily Blunt,https://open.spotify.com/track/5ollDCofTmRZN0Bbhz4EDW
9,What's Up Danger (with Black Caviar),Blackway,https://open.spotify.com/track/5zsHmE2gO3RefVsPyw2e3T
10,"thank u, next",Ariana Grande,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
11,Envy Me,Calboy,https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX
12,Apple Juice (feat. Carla Monroe) - MOTi Remix,SLATIN,https://open.spotify.com/track/6fIgsZFtGXiIvxb2Y6oCc7
13,Sexual Vibe,Stephen Puth,https://open.spotify.com/track/57nU6ivxzZemOQaQK0hqEs
14,Nanã,Polo & Pan,https://open.spotify.com/track/0Psz3az3RIYfJpnsajBT8N
15,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
16,Sweet but Psycho,Ava Max,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
17,Adan y Eva,Paulo Londra,https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk
18,Grip,Seeb,https://open.spotify.com/track/3gicyfiEVMGONgzygpWjNT
19,Start a Riot,Duckwrth,https://open.spotify.com/track/6V81K1OcvYgHEnCA6A2Qx9
20,"The Place Where Lost Things Go - From ""Mary Poppins Returns""",Emily Blunt,https://open.spotify.com/track/1Ea0zWC9cjfsF70fvZ3qva
21,Falling (blackbear Remix),Trevor Daniel,https://open.spotify.com/track/59IUUAdjVbmq80Nkc3Q9Dx
22,Let Go,Beau Young Prince,https://open.spotify.com/track/5F2AuFzEiuAQD0JVNjVJQz
23,"Elevate (feat. Denzel Curry, YBN Cordae, SwaVay, Trevor Rich)",DJ Khalil,https://open.spotify.com/track/6kiauSlWtddVQx4JwJx51p
24,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA
25,Dancin - Krono Remix (Extended),Aaron Smith,https://open.spotify.com/track/2jYcqzT5RkJaJvdk1PxFGj
26,Neon Moon,Cigarettes After Sex,https://open.spotify.com/track/7laJx5tDtvm3Mkj832oxSb
27,La Di Da,Lennon Stella,https://open.spotify.com/track/2YyvWje3cEYyqgYhNUIaBJ
28,Baby I'm Yours (feat. Irfane),Breakbot,https://open.spotify.com/track/3jhXwlBuSSxd0Vu6Y5pXDv
29,Splashin,Rich The Kid,https://open.spotify.com/track/79OEIr4J4FHV0O3KrhaXRb
30,Someone You Loved,Lewis Capaldi,https://open.spotify.com/track/2TIlqbIneP0ZY1O0EzYLlc
31,Space Cadet (feat. Gunna),Metro Boomin,https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz
32,Without Me,Halsey,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
33,imagine,Ariana Grande,https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F
